Date,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Northwestern,Southern,Southern,Southern,Southern,Southern,Southern,Southern,Southern,North Caucasian,North Caucasian,North Caucasian,North Caucasian,North Caucasian,North Caucasian,North Caucasian,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Volga,Ural,Ural,Ural,Ural,Ural,Ural,Siberian,Siberian,Siberian,Siberian,Siberian,Siberian,Siberian,Siberian,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Far Eastern,Confirmed,Confirmed,Recovered,Recovered,Deaths,Deaths,Tests,Sources
Date,Belgorod Oblast,Bryansk Oblast,Ivanovo Oblast,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Moscow Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tula Oblast,Tver Oblast,Vladimir Oblast,Voronezh Oblast,Yaroslavl Oblast,Moscow,Republic of Karelia,Komi Republic,Arkhangelsk Oblast,Kaliningrad Oblast,Leningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Vologda Oblast,Saint Petersburg,Adygea,Republic of Crimea,Kalmykia,Krasnodar Krai,Astrakhan Oblast,Rostov Oblast,Volgograd Oblast,Sevastopol,Chechnya,Dagestan,Ingushetia,Kabardino-Balkaria,Karachay-Cherkessia,North Ossetia-Alania,Stavropol Krai,Bashkortostan,Chuvashia,Mari El,Mordovia,Tatarstan[a],Udmurtia,Perm Krai,Kirov Oblast,Nizhny Novgorod Oblast,Orenburg Oblast,Penza Oblast,Samara Oblast,Saratov Oblast,Ulyanovsk Oblast,Chelyabinsk Oblast,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi AO,Yamalo-Nenets AO,Khakassia,Altai Krai,Krasnoyarsk Krai,Irkutsk Oblast,Kemerovo Oblast,Novosibirsk Oblast,Omsk Oblast,Tomsk Oblast,Buryatia,Yakutia,Kamchatka Krai,Khabarovsk Krai,Primorsky Krai,Zabaykalsky Krai,Amur Oblast,Magadan Oblast,Sakhalin Oblast,Jewish AO,New,Total,New,Total,New,Total,Tests,Sources
31 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,2,–,–,–,–,,[8]
11 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,2,1,1,–,–,,[9]
12 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,–,2,1,2,–,–,,[9]
2 Mar,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,–,2,–,–,,[15]
5 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,–,2,–,–,"46,414",[17][75]
6 Mar,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,1,3,–,–,"51,366",[19][16][76]
7 Mar,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,–,3,–,–,"55,688",[20][77]
8 Mar,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,–,3,–,–,"59,960",[21][78]
9 Mar,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,–,3,–,–,"63,191",[22][79]
11 Mar,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,28,–,3,–,–,"70,601",[23][80]
12 Mar,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,34,–,3,–,–,"76,963",[24][81]
13 Mar,,,,,,,,1,,,,,,,,,,5,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,45,–,3,–,–,,[26][18]
14 Mar,,,,,,,,1,,,,,,,,,,9,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,14,59,–,3,–,–,"94,852",[27][82]
15 Mar,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,63,–,3,–,–,"104,883",[28][83]
16 Mar,,,,,,,,1,,,,,,,,,,20,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,30,93,1,4,–,–,"109,939",[30][84]
17 Mar,,,,1,,,,1,,,,1,,2,,,1,4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,2,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,21,114,1,5,–,–,"116,061",[31][85]
18 Mar,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,33,147,–,5,–,–,"122,854",[32][86]
19 Mar,,,1,,,,,5,,1,,2,3,1,,2,,12,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,1,,,,,1,2,1,1,,,1,,,,5,,1,,,,3,,,1,,,,1,,3,,,,,,,52,199,–,5,–,–,"133,101",[37][87]
20 Mar,,,,,,,,1,,,,,,,,,,33,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,1,,,,1,,,,,,,,2,,,,6,,,,,,,,,54,253,7,12,–,–,"143,519",[41][88]
21 Mar,,,,,,,,17,,1,,,2,,,,,6,,,,2,,,,,,2,,1,,2,,,,,,,,2,,,1,,,,,5,,,,4,,,,,,1,1,3,,1,,,,1,,,,,,,,,1,,,,,,,53,306,4,16,–,–,"156,016",[42][89]
22 Mar,,1,,,,,,,,,,,,,,,,54,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,367,–,16,–,–,"163,529",[43][90]
23 Mar,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,438,1,17,–,–,"165,772",[44][91]
24 Mar,,,,1,,,2,,2,,,,,,,4,,28,,,,,2,,,,,5,,,,,,,1,,1,,,,,,,3,,,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,2,,,,,,57,495,5,22,–,–,"185,918",[45][92]
25 Mar,,1,,,,,,6,,,,,2,,,,,120,,2,1,1,,,,4,,,,6,,4,,1,,,,,,2,,,1,1,,,,,,2,,1,3,1,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,163,658,7,29,–,–,"192,824",[46][93]
26 Mar,,,,,,,,,,,,,,,,,,136,,,,,,,,2,,5,,,,,,,,,,,,,,,3,,,,,3,,5,,,,,2,,,3,,7,,2,,1,,3,,1,1,,1,2,4,,1,,,,,,,182,840,9,38,2,2,"197,251",[48][94]
27 Mar,,,1,,,,,8,1,,,,1,,,,1,157,,,,,,,,,,,,7,,,,1,3,5,2,1,,,,,,,,,2,1,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,196,"1,036",7,45,1,3,"223,509",[52][95][96]
28 Mar,,1,5,,1,,3,36,,,1,,3,,,,,114,,,,3,4,,,,,11,1,1,,8,,,,,2,,,,,,,,,,,3,,1,,3,2,,,1,,4,,4,,,,,,4,,,2,,,6,,,,,,,,4,,228,"1,264",4,49,1,4,"243,377",[57][97]
29 Mar,1,,,,,,1,27,,1,,,,,,,1,197,,4,,,2,2,2,,,5,,,,,,,,,4,,,,,,,1,,,1,,,,1,,,5,,,,3,,,1,1,,,,,1,,1,3,1,,1,,2,,,1,,,,270,"1,534",15,64,4,8,"263,888",[61][98]
30 Mar,3,,2,1,,,1,7,,2,,,1,1,2,,,212,,15,4,1,2,2,,3,2,8,3,,1,,,,,,,3,,2,,,1,,,2,,,,2,3,,1,,,2,,2,,,,,,1,1,2,1,,1,,,5,,,,,,,,,,302,"1,836",2,66,1,9,"343,523",[62][99]
31 Mar,,,,,2,,,,,,,,,,,2,,387,,,,,3,6,,,,48,,1,1,,2,3,,,,9,,,,,,2,,,,5,,,,1,,5,1,,,,,9,2,,,,1,,1,,,,,6,,,1,2,,,1,,,501,"2,337",55,121,8,17,"536,669",[63][100]
1 Apr,,2,2,,,3,1,15,,,,3,5,1,1,4,,267,,32,,,6,,,,7,27,,,,5,,,4,,1,2,,2,,2,,1,,,1,,,,,,,4,,11,,7,,,,3,,,1,6,,,1,4,,6,,,1,1,,,,1,,440,"2,777",69,190,7,24,,[67]
2 Apr,1,,,2,,,4,43,,,,,,,,,,595,,2,,7,11,4,,,3,22,1,,,,,4,,,,10,,,,2,5,2,,2,,,,7,,13,5,,2,,,,,5,,,2,,1,5,4,,,2,,5,,,,,,,,,,771,"3,548",45,235,8,30,,[68]
3 Apr,,2,2,,,1,3,34,,1,,,,1,,,,448,,,1,,10,,,,,9,,2,5,17,3,,,,2,,1,,,,,,,,,6,,1,3,,,11,,4,,2,,1,5,8,10,,,,1,,,,,1,,,1,2,,,,,3,601,"4,149",46,281,4,34,"575,103",[69][101]
4 Apr,1,12,10,1,5,,,49,3,6,1,1,2,,,2,2,434,,3,,,6,,,,1,15,2,,,,,,,,3,,,,,1,,,,,1,,1,,3,,,,,,,3,1,1,,,,,3,,,,,1,,4,,,,,,3,,1,,582,"4,731",52,333,6,43,"639,606",[70][102]
5 Apr,,,,,,,,45,,,,,10,,,,1,536,,,,,10,,,,,20,,2,,,,,,,,,,,,,,,,,,,,,,22,,,,,,1,,,,3,,,,4,,,1,,,,,2,1,,,,,,,658,"5,389",22,355,2,45,"697,004",[71][103]
6 Apr,4,5,10,1,1,,8,82,1,5,1,8,10,2,2,9,,591,2,31,6,,5,3,2,1,10,35,6,1,,11,,,7,,1,5,,,,3,9,,2,9,1,16,,,,9,2,5,,,1,4,,4,,,,2,5,3,3,2,,,,8,,,,,,,,,,954,"6,343",51,406,2,47,"758,401",[72][104]
7 Apr,3,32,14,4,,,,67,5,,,,10,,7,,5,697,,11,,29,,,,4,,69,,1,4,11,,8,11,,1,13,6,5,3,1,19,2,3,,,,4,11,2,,,19,,6,2,1,,7,7,19,18,,,,3,,,4,,7,,,5,1,,,,,,"1,154","7,497",88,494,11,58,"795,523",[73][105]
8 Apr,4,1,,,,6,18,95,,15,4,6,5,4,2,10,,660,,18,,1,32,25,,,4,34,,1,4,24,,4,,,5,1,18,2,10,6,,4,9,27,7,,,,,24,8,1,1,1,,,1,5,,3,11,1,6,7,,2,2,1,1,4,1,,8,7,3,,,5,3,"1,175","8,672",86,580,5,63,"910,221",[106][107]
9 Apr,,40,13,,3,10,4,199,5,,4,,12,7,24,,2,857,,31,10,3,18,1,7,2,8,44,,3,8,20,16,3,,,,13,,,1,7,3,6,2,1,4,9,,9,8,7,,,,4,2,2,,3,1,,,,3,,3,,5,,,6,,3,,5,,,,,,"1,459","10,131",118,698,13,76,"1,004,719",[108][109]
Total,18,97,60,11,12,20,49,748,17,32,11,21,66,19,38,33,13,"6,698",2,150,24,52,112,44,12,16,35,373,13,26,23,105,21,24,26,5,22,56,25,15,14,22,42,22,17,41,17,50,9,41,28,87,22,52,18,30,6,34,3,59,19,41,41,6,21,39,17,7,18,15,4,60,16,5,24,20,4,4,1,11,6,"10,131[a]","10,131[a]",698[a],698[a],76[b][c],76[b][c],N/A,[1][2]
